ID,Population_of_Origin,Sex,Exposed,Infection_load,LogZE,Infection_StatusStatus,Died,DOD,Days_Survived,Days_Survived,SVL_mm,Mass_g,Log_mass,SVL_start,Mass_start,Log_mass_start
98,Kiandra,m,1,845640,5.927186031,Infected,1,1,10/17/2011,27,NA,3.28,0.515873844,29.7,3.41,0.532754379
63,Kiandra,f,1,871697,5.94036605,Infected,1,1,10/18/2011,28,NA,4.04,0.606381365,31.8,3.39,0.530199698
352,Kiandra,f,1,929209,5.968113875,Infected,1,1,10/23/2011,33,NA,3.19,0.503790683,35,4.36,0.639486489
125,Kiandra,m,1,1059585,6.025136211,Infected,1,1,10/17/2011,27,NA,2.47,0.392696953,28.2,3.24,0.51054501
80,Kiandra,f,1,1366742,6.135686858,Infected,1,1,11/1/2011,42,NA,4.11,0.613841822,33.5,6.68,0.824776462
11,Kiandra,m,1,1591432,6.201788359,Infected,1,1,10/19/2011,29,28.3,2.92,0.465382851,NA,NA,NA
210,Kiandra,f,1,1665650,6.22158401,Infected,1,1,10/25/2011,35,NA,3.29,0.517195898,34.5,4.33,0.636487896
244,Kiandra,m,1,1787882,6.252339095,Infected,1,1,10/27/2011,37,NA,3.79,0.57863921,33.4,4.03,0.605305046
368,Kiandra,f,1,2149610,6.332359876,Infected,1,1,11/1/2011,42,NA,3.95,0.596597096,35.5,5.25,0.720159303
277,Kiandra,f,1,2463656,6.391580244,Infected,1,1,10/16/2011,26,NA,4.99,0.698100546,34.2,5.17,0.713490543
175,Kiandra,m,1,2591065,6.413478476,Infected,1,1,10/20/2011,30,NA,3.54,0.549003262,30.4,3.89,0.589949601
74,Kiandra,f,1,3285076,6.516545554,Infected,1,1,10/16/2011,26,NA,4.93,0.692846919,35.4,6.17,0.790285164
109,Kiandra,f,1,5612799,6.749179567,Infected,1,1,10/20/2011,30,29.8,2.94,0.46834733,31.6,3.44,0.536558443
14,Ogilvies,m,0,0,0,Uninfected,0,1,12/15/2011,86,NA,4.49,0.652246341,31.2,3.08,0.488550717
33,Ogilvies,f,0,0,0,Uninfected,0,1,12/15/2011,86,NA,6.96,0.84260924,33,4.72,0.673941999
77,Ogilvies,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,5.46,0.737192643,30.2,3.59,0.555094449
92,Ogilvies,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,6.41,0.80685803,31.3,4.44,0.64738297
94,Ogilvies,m,0,0,0,Uninfected,0,1,12/16/2011,87,NA,5.05,0.703291378,28.6,3.73,0.571708832
255,Ogilvies,f,0,0,0,Uninfected,0,1,12/18/2011,89,NA,4.67,0.669316881,32.9,4.19,0.622214023
