FrogID,Site,Clutch,Sex,BdExposed,ShamExposed,Mass1,SVL1,2WPEwells06/10,2WPEzseDil06/10,2WPEzseCap06/10,2WPEzseUncap06/10,3WPEwells13/10,3WPEzseDil13/10,3WPEzseCap13/10,3WPEzseUncap13/10,4WPEwells20/10,4WPEzseDil20/10,4WPEzseCap20/10,4WPEzseUncap20/10,5WPEwells27/10,5WPEzseDil27/10,5WPEzseCap27/10,5WPEzseUncap27/10,6WPEwells03/11,6WPEzseDil03/11,6WPEzseCap03/11,6WPEzseUncap03/11,7WPEwells10/11,7WPEzseDil10/11,7WPEzseCap10/11,7WPEzseUncap10/11,8WPEwells17/11,8WPEzseDil17/11,8WPEzseCap17/11,8WPEzseUncap17/11,9WPEwells24/11,9WPEzseDil24/11,9WPEzseCap24/11,9WPEzseUncap24/11,10WPEwells01/12,10WPEzseDil01/12,10WPEzseCap01/12,10WPEzseUncap01/12,11WPEwells08/12,11WPEzseDil08/12,11WPEzseCap08/12,11WPEzseUncap08/12,DeathDate,Deathzsewells,DeathzseDil,DeathzseCap,DeathzseUncap,Mass2,DaysSurv,,,
Lva080,Kiandra,Kiandra D,female,1,0,6.68,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/11/2011,3,8200.29,>16667,1366742,4.11,42,,,
Lva081,Greymare,Greymare C,female,0,1,6.55,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/11/2011,3,2055.21,>16667,342542,5.35,56,,,
Lva082,Kiandra,Kiandra C,male,1,0,3.65,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/2011,3,5229.07,>16667,871529,3.52,35,,,
Lva083,Kiandra,Kiandra B,male,1,0,2.87,29.5,3,93.97,15662,15665,3,24.28,4047,4047,3,267.95,>16667,44667.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/10/2011,3,4246.3,>16667,707731,2.39,37,,,
Lva084,Greymare,Greymare B,male,1,0,3.55,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/10/2011,3,19618.52,>16667,3269819,3.71,23,,,
Lva086,Eucumbene,Eucumbene A,male,1,0,2.94,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/2011,3,2044.58,>16667,340770,3.15,22,,,
Lva087,Ogilvies,Ogilvies C,male,1,0,3.04,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/2011,3,12094.47,>16667,2015785,2.43,31,,,
Lva088,Greymare,Greymare A,female,1,0,4.2,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/10/2011,3,6294.98,>16667,1049184,3.9,24,,,
Lva089,Ogilvies,Ogilvies A,male,1,0,2.1,25.8,3,297.57,>16667,49605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/10/2011,3,2198.18,>16667,366371,1.81,23,,,
Lva090,Eucumbene,Eucumbene B,male,1,0,2.41,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/10/2011,3,2670.13,>16667,445031,2.37,34,,,
Lva091,Eucumbene,Eucumbene C,female,1,0,3.92,30.2,3,0.99,165,165,3,66.64,11107,11107,3,140.01,>16667,23339.667,3,250.6,>16667,41775.02,3,316.45,>16667,52752.215,,,,,,,,,,,,,,,,,,,,,4/11/2011,3,537.96,>16667,89662,3.58,45,,,
Lva092,Ogilvies,Ogilvies B,female,0,1,4.44,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,6.41,Survivor,,,
Lva094,Ogilvies,Ogilvies B,male,0,1,3.73,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,5.05,Survivor,,,
Lva095,Eucumbene,Eucumbene A,female,0,1,2.8,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,5.06,Survivor,,,
Lva096,Greymare,Greymare A,female,1,0,5.81,33.9,3,3.28,547,547,3,407.09,>16667,67861.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10/2011,3,2678.37,>16667,446404,5.78,28,,,
Lva097,Eucumbene,Eucumbene B,male,1,0,2.28,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/2011,3,4042.43,>16667,673752,1.95,25,,,
Lva098,Kiandra,Kiandra D,male,1,0,3.41,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/10/2011,3,5073.74,>16667,845640,3.28,27,,,
Lva100,Kiandra,Kiandra C,male,1,0,2.3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/2011,3,224.82,>16667,37471,2.62,31,,,
Lva102,Ogilvies,Ogilvies B,female,0,1,5.13,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,5.03,Survivor,,,
Lva103,Greymare,Greymare C,female,1,0,6.32,34.3,3,563.05,>16667,93860,3,27.48,4580,4580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10/2011,3,489.92,>16667,81655,5.43,28,,,
Lva104,Kiandra,Kiandra A,female,1,0,2.71,30,3,0.09,15,15,3,272.52,>16667,45429.084,3,570.17,>16667,95047.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/2011,3,2351,>16667,391841,2.69,31,,,
Lva105,Kiandra,Kiandra A,male,1,0,3.36,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/10/2011,3,3084.62,>16667,514114,3.31,38,,,
Lva106,Ogilvies,Ogilvies C,male,1,0,2.79,28.1,3,10.76,1793,1794,3,181.74,>16667,30296.058,3,1039.07,>16667,173212.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/2011,3,2322.36,>16667,387068,2.02,35,,,
Lva107,Kiandra,Kiandra B,male,0,1,3.31,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,3.98,Survivor,,,
Lva109,Kiandra,Kiandra C,female,1,0,3.44,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/10/2011,3,33676.12,>16667,5612799,2.94,30,,,
Lva110,Kiandra,Kiandra D,male,1,0,4.65,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/10/2011,3,10625.59,>16667,1770967,3.7,37,,,
Lva111,Greymare,Greymare C,male,1,0,3.49,30.9,0,0,0,0,3,0.16,27,27,3,4.89,815.0163,815.0163,3,45.83,7638.4861,7638.4861,3,35.8,5966.786,5966.786,3,261.78,>16667,43638.726,3,100.17,>16667,16698.339,,,,,,,,,,,,,18/11/2011,3,2934.13,>16667,489031,2.88,59,,,
